municipio,total_2010,ind_masc_2010,total_2022,ind_masc_2022
ADOLFO ALSINA                                ,17.072,"97,0",17.552,"98,6"
ADOLFO GONZALES CHAVES                      ,12.047,"96,3",12.914,"95,4"
ALBERTI                                     ,10.654,"94,7",12.982,"93,5"
ALMIRANTE BROWN,552.902,"95,6",584.827,"93,3"
ARRECIFES (1)                         ,29.044,"92,8",32.215,"92,5"
AVELLANEDA,342.677,"89,9",367.554,"89,6"
AYACUCHO                                    ,20.337,"96,5",21.977,"95,4"
AZUL                                        ,65.280,"94,1",75.905,"93,9"
BAHÍA BLANCA                                ,301.572,"92,2",336.571,"92,2"
BALCARCE                                    ,43.823,"96,5",48.982,"94,5"
BARADERO                                    ,32.761,"97,7",40.002,"95,9"
BENITO JUÁREZ                               ,20.239,"102,4",22.292,"104,6"
BERAZATEGUI ,324.244,"95,8",358.712,"93,5"
BERISSO                                     ,88.470,"94,6",100.930,"92,2"
BOLÍVAR                                     ,34.190,"96,9",37.592,"92,5"
BRAGADO                                     ,41.336,"94,0",46.504,"94,0"
BRANDSEN                                    ,26.367,"98,2",32.448,"95,5"
CAMPANA                                     ,94.461,"100,2",110.566,"100,4"
CAÑUELAS (2),51.892,"99,8",70.684,"96,7"
CAPITÁN SARMIENTO                           ,14.494,"94,9",15.965,"93,4"
CARLOS CASARES                              ,22.237,"95,4",23.100,"94,9"
CARLOS TEJEDOR                              ,11.570,"100,7",14.079,"98,9"
CARMEN DE ARECO                             ,14.692,"99,5",17.499,"98,6"
CASTELLI                                    ,8.205,"95,0",9.594,"96,3"
CHACABUCO                                   ,48.703,"94,7",52.731,"93,8"
CHASCOMÚS                                   ,42.277,"96,0",42.452,"94,5"
CHIVILCOY                                   ,64.185,"91,9",70.839,"91,5"
COLÓN                                       ,24.890,"94,7",27.504,"94,5"
CORONEL DE MARINA L. ROSALES,62.152,"95,8",67.503,"94,0"
CORONEL DORREGO                             ,15.825,"94,8",15.968,"94,6"
CORONEL PRINGLES                            ,22.933,"94,1",24.420,"92,1"
CORONEL SUÁREZ                              ,38.320,"95,8",42.110,"94,5"
DAIREAUX                                    ,16.889,"99,0",18.422,"96,0"
DOLORES                                     ,27.042,"93,4",32.032,"96,0"
ENSENADA                                    ,56.729,"96,0",63.997,"93,9"
ESCOBAR                                     ,213.619,"98,5",256.266,"96,4"
ESTEBAN ECHEVERRÍA (3),300.959,"96,7",338.477,"94,0"
EXALTACIÓN DE LA CRUZ                       ,29.805,"100,3",40.159,"98,0"
EZEIZA (4),163.722,"100,1",201.511,"96,9"
FLORENCIO VARELA (5),426.005,"99,9",496.430,"98,7"
